fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,lluvia_categoria,cielo_categoria,viento_categoria,descripcion_dia,día,desayunos,almuerzos,cenas,mes,nº se,año
2025-02-25,14.8,17.1,12.4,0.0,3.1,10.8,0.1,82.0,Frío,Húmedo,Sin lluvia,Nublado,Brisa,"Frío, Húmedo, Brisa, Nublado.",Miércoles,105.0,47.0,50,2,8,2025
2025-02-26,15.4,18.2,12.5,0.0,3.6,12.5,4.9,78.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Jueves,90.0,45.0,53,2,8,2025
2025-02-27,16.1,18.1,14.1,0.0,3.6,9.7,0.9,70.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Viernes,135.0,15.0,46,2,8,2025
2025-02-28,15.4,17.2,13.6,1.4,4.7,12.8,1.3,70.0,Agradable,Húmedo,Lluvia notable,Lluvioso,Brisa,"Agradable, Húmedo, Brisa, Lluvioso.",Sábado,105.0,28.0,41,2,8,2025
2025-03-01,15.6,19.1,12.0,0.0,2.5,7.8,1.1,74.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Domingo,155.0,26.0,65,3,9,2025
2025-03-02,14.8,18.8,10.8,0.0,3.6,8.9,7.2,79.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,82.0,27.0,52,3,9,2025
2025-03-03,14.5,18.4,10.6,0.0,3.9,8.9,1.8,84.0,Frío,Húmedo,Sin lluvia,Nublado,Brisa,"Frío, Húmedo, Brisa, Nublado.",Martes,80.0,25.0,36,3,9,2025
2025-03-04,14.8,16.8,12.9,0.0,3.6,9.2,0.1,75.0,Frío,Húmedo,Sin lluvia,Nublado,Brisa,"Frío, Húmedo, Brisa, Nublado.",Miércoles,75.0,17.0,46,3,9,2025
2025-03-05,14.6,15.5,13.8,0.3,5.6,13.9,0.0,82.0,Frío,Húmedo,Llovizna / Chubascos,Con chubascos,Brisa,"Frío, Húmedo, Brisa, Con chubascos.",Jueves,63.0,11.0,58,3,9,2025
2025-03-06,14.8,16.7,12.8,4.9,1.9,8.3,0.0,83.0,Frío,Húmedo,Lluvia notable,Lluvioso,Brisa,"Frío, Húmedo, Brisa, Lluvioso.",Viernes,82.0,27.0,29,3,9,2025
2025-03-07,15.4,18.6,12.2,0.0,3.3,8.3,0.7,78.0,Agradable,Húmedo,Sin lluvia,Nublado,Brisa,"Agradable, Húmedo, Brisa, Nublado.",Sábado,81.0,27.0,77,3,9,2025
2025-03-08,14.6,20.2,9.1,0.05,3.1,8.9,6.2,68.0,Frío,Húmedo,Llovizna / Chubascos,Con chubascos,Brisa,"Frío, Húmedo, Brisa, Con chubascos.",Domingo,129.0,37.0,48,3,10,2025
2025-03-09,13.4,17.8,8.9,0.4,3.3,8.3,6.9,76.0,Frío,Húmedo,Llovizna / Chubascos,Con chubascos,Brisa,"Frío, Húmedo, Brisa, Con chubascos.",Lunes,63.0,36.0,55,3,10,2025
2025-03-10,12.8,18.8,6.7,0.0,4.7,9.2,10.6,79.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Martes,51.0,11.0,68,3,10,2025
2025-03-11,14.2,21.3,7.0,0.0,4.2,7.8,10.9,73.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Miércoles,61.0,25.0,37,3,10,2025
2025-03-12,18.5,24.0,13.0,0.0,8.1,16.9,11.0,55.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,44.0,17.0,45,3,10,2025
2025-03-13,14.9,19.7,10.1,0.0,3.9,12.5,10.8,75.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Viernes,75.0,37.0,40,3,10,2025
2025-03-14,15.4,19.7,11.1,0.0,3.6,12.5,10.3,68.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Sábado,134.0,110.0,62,3,10,2025
2025-03-15,13.2,19.5,7.0,0.0,3.6,7.8,10.6,72.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Domingo,173.0,64.0,52,3,11,2025
2025-03-16,12.7,18.7,6.7,0.0,5.0,8.9,10.0,74.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,63.0,21.0,60,3,11,2025
2025-03-17,15.0,19.9,10.1,0.0,3.3,8.3,10.5,68.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Martes,58.0,41.0,87,3,11,2025
