ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001664	BUDWAISER	"29,00"	"89,27"	"98,20"	"0,69"	"93,44"	31/05/2025	"89,27"	"100,00"
001665	MAHOU IPA	"11,00"	"44,73"	"49,20"	"0,35"	"93,79"	30/05/2025	"44,73"	"100,00"
001666	FRANZISKANER 	"20,00"	"77,32"	"85,05"	"0,60"	"94,39"	31/05/2025	"77,32"	"100,00"
001667	LEFFE BLONDE	"6,00"	"20,91"	"23,00"	"0,16"	"94,55"	13/05/2025	"20,91"	"100,00"
001697	Caña Llevar	"17,00"	"45,73"	"50,30"	"0,36"	"94,91"	27/05/2025	"45,73"	"100,00"
001808	"MAHOU 0,0 TOSTADA"	"228,00"	"642,64"	"706,90"	"5,00"	"99,90"	31/05/2025	"642,64"	"100,00"
001820	MAHOU SIN FILTRAR	"4,00"	"12,73"	"14,00"	"0,10"	"100,00"	14/05/2025	"12,73"	"100,00"
	CAFES E INFUSIONES								
000148	ESPRESSO	"342,00"	"609,55"	"670,50"	"5,30"	"5,30"	31/05/2025	"609,55"	"100,00"
000149	CAFÉ CON LECHE	"2.121,00"	"4.446,91"	"4.891,60"	"38,64"	"43,93"	31/05/2025	"4.446,91"	"100,00"
000150	ESPRESSO MACCHIATO	"19,00"	"37,64"	"41,40"	"0,33"	"44,26"	30/05/2025	"37,64"	"100,00"
000151	CAFÉ HIELO BAYLEIS	"82,00"	"205,00"	"225,50"	"1,78"	"46,04"	31/05/2025	"205,00"	"100,00"
000153	CAPPUCCINO ITALIANO	"469,00"	"1.101,45"	"1.211,60"	"9,57"	"55,61"	31/05/2025	"1.101,45"	"100,00"
000155	COLA CAO	"79,00"	"139,91"	"153,90"	"1,22"	"56,83"	31/05/2025	"139,91"	"100,00"
000156	TÉ	"297,00"	"661,36"	"727,50"	"5,75"	"62,57"	31/05/2025	"661,36"	"100,00"
000157	MENTA POLEO	"30,00"	"68,18"	"75,00"	"0,59"	"63,17"	31/05/2025	"68,18"	"100,00"
000159	MANZANILLA	"37,00"	"84,09"	"92,50"	"0,73"	"63,90"	31/05/2025	"84,09"	"100,00"
000160	leche soja	"78,00"	"7,09"	"7,80"	"0,06"	"63,96"	31/05/2025	"7,09"	"100,00"
000164	TÉ EN LECHE	"27,00"	"68,73"	"75,60"	"0,60"	"64,56"	31/05/2025	"68,73"	"100,00"
000165	TÉ CON CANELA	"12,00"	"32,18"	"35,40"	"0,28"	"64,83"	25/05/2025	"32,18"	"100,00"
000166	TÉ CON LIMÓN	"21,00"	"42,00"	"46,20"	"0,36"	"65,20"	31/05/2025	"42,00"	"100,00"
000167	TÉ CON LECHE	"51,00"	"136,77"	"150,45"	"1,19"	"66,39"	31/05/2025	"136,77"	"100,00"
