ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001832	SUG_9 17.95	"23,00"	"375,32"	"412,85"	"0,94"	"99,98"	30/06/2025	"375,32"	"100,00"
001897	barbacoa acomp	"35,00"	"0,00"	"0,00"	"0,00"	"99,98"	30/06/2025	"0,00"	"0,00"
001898	Teriyaki acomp	"28,00"	"0,00"	"0,00"	"0,00"	"99,98"	30/06/2025	"0,00"	"0,00"
001901	Arroz acomp	"58,00"	"0,00"	"0,00"	"0,00"	"99,98"	30/06/2025	"0,00"	"0,00"
001902	Noodles acomp	"107,00"	"0,00"	"0,00"	"0,00"	"99,98"	30/06/2025	"0,00"	"0,00"
001903	Bolsa	"8,00"	"0,73"	"0,80"	"0,00"	"99,98"	29/06/2025	"0,73"	"100,00"
001904	Take Grande	"10,00"	"3,64"	"4,00"	"0,01"	"99,99"	29/06/2025	"3,64"	"100,00"
001905	Take pequeño	"29,00"	"5,27"	"5,80"	"0,01"	"100,00"	30/06/2025	"5,27"	"100,00"
001906	Poco hecho	"7,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/06/2025	"0,00"	"0,00"
001907	Punto menos	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	13/06/2025	"0,00"	"0,00"
001908	Al Punto	"15,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/06/2025	"0,00"	"0,00"
001909	Punto Más	"3,00"	"0,00"	"0,00"	"0,00"	"100,00"	27/06/2025	"0,00"	"0,00"
001910	Muy Hecho	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	17/06/2025	"0,00"	"0,00"
001911	Pollo empanado	"12,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/06/2025	"0,00"	"0,00"
001912	Pollo plancha	"5,00"	"0,00"	"0,00"	"0,00"	"100,00"	29/06/2025	"0,00"	"0,00"
001913	Patatas fritas	"14,00"	"0,00"	"0,00"	"0,00"	"100,00"	29/06/2025	"0,00"	"0,00"
001914	Arroz	"5,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/06/2025	"0,00"	"0,00"
	CERVEZAS								
000129	MAHOU 33CL	"862,00"	"2.586,00"	"2.844,60"	"16,86"	"16,86"	30/06/2025	"2.586,00"	"100,00"
000131	CORONITAS	"194,00"	"652,55"	"717,80"	"4,25"	"21,11"	30/06/2025	"652,55"	"100,00"
000147	SAN MIGUEL 00	"61,00"	"177,45"	"195,20"	"1,16"	"22,27"	30/06/2025	"177,45"	"100,00"
000578	SAN MIGUEL ESPECIAL	"87,00"	"253,09"	"278,40"	"1,65"	"23,92"	29/06/2025	"253,09"	"100,00"
000630	PACK ALHAMBRA	"36,00"	"278,18"	"306,00"	"1,81"	"25,73"	29/06/2025	"278,18"	"100,00"
000631	PACK MAHOU	"52,00"	"401,82"	"442,00"	"2,62"	"28,35"	30/06/2025	"401,82"	"100,00"
000754	CAÑITA 5 ESTRELLAS	"1.425,00"	"3.432,95"	"3.776,25"	"22,38"	"50,73"	30/06/2025	"3.432,95"	"100,00"
000755	JARRA 5 ESTRELLAS	"700,00"	"2.863,64"	"3.150,00"	"18,67"	"69,40"	30/06/2025	"2.863,64"	"100,00"
000825	CLARA LIMON	"50,00"	"109,50"	"132,50"	"0,71"	"70,11"	29/06/2025	"109,50"	"100,00"
000826	CLARA CASERA	"22,00"	"40,00"	"48,40"	"0,26"	"70,37"	30/06/2025	"40,00"	"100,00"
001218	MAESTRA 33CL	"58,00"	"210,91"	"232,00"	"1,37"	"71,75"	24/06/2025	"210,91"	"100,00"
001313	MAHOU SIN GLUTEN	"96,00"	"305,45"	"336,00"	"1,99"	"73,74"	30/06/2025	"305,45"	"100,00"
001319	CAÑA MAESTRA	"92,00"	"267,64"	"294,40"	"1,74"	"75,48"	30/06/2025	"267,64"	"100,00"
001320	JARRA MAESTRA	"27,00"	"135,00"	"148,50"	"0,88"	"76,36"	28/06/2025	"135,00"	"100,00"
001444	RADLER MAHOU	"48,00"	"128,73"	"141,60"	"0,84"	"77,20"	30/06/2025	"128,73"	"100,00"
001481	SAN MIGUEL MAGNA	"6,00"	"17,45"	"19,20"	"0,11"	"77,32"	27/06/2025	"17,45"	"100,00"
001597	San Miguel 0.0	"63,00"	"183,27"	"201,60"	"1,19"	"78,51"	29/06/2025	"183,27"	"100,00"
001643	JARRA CLARA	"7,00"	"28,64"	"31,50"	"0,19"	"78,70"	27/06/2025	"28,64"	"100,00"
001662	STELLA ARTOIS	"8,00"	"21,45"	"23,60"	"0,14"	"78,84"	21/06/2025	"21,45"	"100,00"
001663	ALHAMBRA 1925	"635,00"	"2.135,91"	"2.349,50"	"13,92"	"92,76"	30/06/2025	"2.135,91"	"100,00"
001664	BUDWAISER	"54,00"	"171,82"	"189,00"	"1,12"	"93,88"	29/06/2025	"171,82"	"100,00"
001665	MAHOU IPA	"19,00"	"77,73"	"85,50"	"0,51"	"94,39"	30/06/2025	"77,73"	"100,00"
001666	FRANZISKANER 	"18,00"	"73,64"	"81,00"	"0,48"	"94,87"	30/06/2025	"73,64"	"100,00"
001667	LEFFE BLONDE	"13,00"	"53,18"	"58,50"	"0,35"	"95,21"	14/06/2025	"53,18"	"100,00"
001697	Caña Llevar	"20,00"	"56,36"	"62,00"	"0,37"	"95,58"	30/06/2025	"56,36"	"100,00"
001808	"MAHOU 0,0 TOSTADA"	"218,00"	"634,18"	"697,60"	"4,13"	"99,71"	30/06/2025	"634,18"	"100,00"
001820	MAHOU SIN FILTRAR	"11,00"	"35,00"	"38,50"	"0,23"	"99,94"	25/06/2025	"35,00"	"100,00"
001833	SAN MIGUEL ED. ALUMINIO	"3,00"	"8,73"	"9,60"	"0,06"	"100,00"	20/06/2025	"8,73"	"100,00"
	CAFES E INFUSIONES								
000148	ESPRESSO	"362,00"	"656,36"	"722,00"	"6,48"	"6,48"	30/06/2025	"656,36"	"100,00"
000149	CAFÉ CON LECHE	"1.711,00"	"3.713,45"	"4.084,80"	"36,67"	"43,15"	30/06/2025	"3.713,45"	"100,00"
000150	ESPRESSO MACCHIATO	"12,00"	"24,00"	"26,40"	"0,24"	"43,38"	24/06/2025	"24,00"	"100,00"
000151	CAFÉ HIELO BAYLEIS	"51,00"	"127,50"	"140,25"	"1,26"	"44,64"	29/06/2025	"127,50"	"100,00"
000153	CAPPUCCINO ITALIANO	"353,00"	"827,27"	"910,00"	"8,17"	"52,81"	30/06/2025	"827,27"	"100,00"
000155	COLA CAO	"88,00"	"160,00"	"176,00"	"1,58"	"54,39"	29/06/2025	"160,00"	"100,00"
000156	TÉ	"206,00"	"463,64"	"510,00"	"4,58"	"58,97"	30/06/2025	"463,64"	"100,00"
000157	MENTA POLEO	"28,00"	"63,64"	"70,00"	"0,63"	"59,60"	30/06/2025	"63,64"	"100,00"
000159	MANZANILLA	"29,00"	"65,91"	"72,50"	"0,65"	"60,25"	30/06/2025	"65,91"	"100,00"
000160	leche soja	"76,00"	"6,91"	"7,60"	"0,07"	"60,32"	30/06/2025	"6,91"	"100,00"
000164	TÉ EN LECHE	"10,00"	"25,45"	"28,00"	"0,25"	"60,57"	29/06/2025	"25,45"	"100,00"
000165	TÉ CON CANELA	"6,00"	"16,09"	"17,70"	"0,16"	"60,73"	22/06/2025	"16,09"	"100,00"
000166	TÉ CON LIMÓN	"15,00"	"30,00"	"33,00"	"0,30"	"61,02"	30/06/2025	"30,00"	"100,00"
000167	TÉ CON LECHE	"26,00"	"67,05"	"73,75"	"0,66"	"61,69"	30/06/2025	"67,05"	"100,00"
000168	CHOCOLATE SUIZO	"3,00"	"8,45"	"9,30"	"0,08"	"61,77"	27/06/2025	"8,45"	"100,00"
000170	CAFÉ CON HIELO	"296,00"	"616,82"	"678,50"	"6,09"	"67,86"	30/06/2025	"616,82"	"100,00"
000171	CORTADO	"205,00"	"389,45"	"428,40"	"3,85"	"71,70"	30/06/2025	"389,45"	"100,00"
000173	TAZA DE LECHE	"24,00"	"37,09"	"40,80"	"0,37"	"72,07"	29/06/2025	"37,09"	"100,00"
000174	CHOCOLATE	"5,00"	"13,64"	"15,00"	"0,13"	"72,21"	28/06/2025	"13,64"	"100,00"
000175	CARAJILLO	"16,00"	"39,55"	"43,50"	"0,39"	"72,60"	29/06/2025	"39,55"	"100,00"
000176	AMERICANO	"273,00"	"487,27"	"536,00"	"4,81"	"77,41"	30/06/2025	"487,27"	"100,00"
000528	SHAKERATO	"11,00"	"30,00"	"33,00"	"0,30"	"77,70"	30/06/2025	"30,00"	"100,00"
000529	LATTE MACCHIATO ACARAMELADO	"13,00"	"42,55"	"46,80"	"0,42"	"78,12"	30/06/2025	"42,55"	"100,00"
000530	SHAKERATO CON BAILEYS	"2,00"	"6,73"	"7,40"	"0,07"	"78,19"	07/06/2025	"6,73"	"100,00"
000531	LATTE MACCHIATO ACHOCOLATADO	"4,00"	"13,09"	"14,40"	"0,13"	"78,32"	30/06/2025	"13,09"	"100,00"
000532	ICED CAFÉ	"40,00"	"158,18"	"174,00"	"1,56"	"79,88"	29/06/2025	"158,18"	"100,00"
000533	BELLAGIO	"3,00"	"11,86"	"13,05"	"0,12"	"80,00"	27/06/2025	"11,86"	"100,00"
000534	LATTE MACCHIATO ALMENDRADO	"5,00"	"16,36"	"18,00"	"0,16"	"80,16"	20/06/2025	"16,36"	"100,00"
000535	LATTE MACCHIATO	"99,00"	"279,00"	"306,90"	"2,75"	"82,91"	30/06/2025	"279,00"	"100,00"
000536	IRLANDES	"5,00"	"22,50"	"24,75"	"0,22"	"83,14"	27/06/2025	"22,50"	"100,00"
000537	ROYAL	"1,00"	"4,50"	"4,95"	"0,04"	"83,18"	13/06/2025	"4,50"	"100,00"
