ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000170	CAFÉ CON HIELO	"380,00"	"794,55"	"874,00"	"7,53"	"66,35"	31/08/2025	"794,55"	"100,00"
000171	CORTADO	"148,00"	"282,55"	"310,80"	"2,68"	"69,03"	31/08/2025	"282,55"	"100,00"
000173	TAZA DE LECHE	"35,00"	"54,09"	"59,50"	"0,51"	"69,55"	31/08/2025	"54,09"	"100,00"
000174	CHOCOLATE	"8,00"	"21,82"	"24,00"	"0,21"	"69,75"	31/08/2025	"21,82"	"100,00"
000175	CARAJILLO	"21,00"	"55,36"	"60,90"	"0,52"	"70,28"	31/08/2025	"55,36"	"100,00"
000176	AMERICANO	"228,00"	"414,55"	"456,00"	"3,93"	"74,21"	31/08/2025	"414,55"	"100,00"
000528	SHAKERATO	"14,00"	"38,18"	"42,00"	"0,36"	"74,57"	29/08/2025	"38,18"	"100,00"
000529	LATTE MACCHIATO ACARAMELADO	"21,00"	"68,73"	"75,60"	"0,65"	"75,22"	31/08/2025	"68,73"	"100,00"
000530	SHAKERATO CON BAILEYS	"14,00"	"47,09"	"51,80"	"0,45"	"75,67"	31/08/2025	"47,09"	"100,00"
000531	LATTE MACCHIATO ACHOCOLATADO	"9,00"	"29,45"	"32,40"	"0,28"	"75,95"	19/08/2025	"29,45"	"100,00"
000532	ICED CAFÉ	"41,00"	"162,14"	"178,35"	"1,54"	"77,48"	31/08/2025	"162,14"	"100,00"
000534	LATTE MACCHIATO ALMENDRADO	"3,00"	"9,82"	"10,80"	"0,09"	"77,58"	31/08/2025	"9,82"	"100,00"
000535	LATTE MACCHIATO	"57,00"	"160,64"	"176,70"	"1,52"	"79,10"	31/08/2025	"160,64"	"100,00"
000536	IRLANDES	"3,00"	"13,50"	"14,85"	"0,13"	"79,23"	22/08/2025	"13,50"	"100,00"
000538	CALIPSO	"1,00"	"4,50"	"4,95"	"0,04"	"79,27"	16/08/2025	"4,50"	"100,00"
000671	leche sin lactosa	"198,00"	"0,00"	"0,00"	"0,00"	"79,27"	31/08/2025	"0,00"	"0,00"
000782	descafeinado	"90,00"	"0,00"	"0,00"	"0,00"	"79,27"	31/08/2025	"0,00"	"0,00"
001212	TÉ MORUNO	"7,00"	"18,77"	"20,65"	"0,18"	"79,45"	31/08/2025	"18,77"	"100,00"
